X7_CAMPO;X7_SEQUENC;X7_REGRA;X7_CDOMIN;X7_TIPO;X7_SEEK;X7_ALIAS;X7_ORDEM;X7_CHAVE;X7_CONDIC;X7_PROPRI
UH8_LOJA;001;SubStr(SA2->A2_NOME,1,TamSX3("UH8_NOME")[1]);UH8_NOME;P;S;SA2;1;XFILIAL('SA2')+M->UH8_FORNEC+M->UH8_LOJA;;U
UH8_LOJA;002;SA2->A2_CGC;UH8_CGC;P;N;;0;;;U
UH9_PRODUT;001;SB1->B1_DESC;UH9_DESCRI;P;S;SB1;1;XFILIAL('SB1')+M->UH9_PRODUT;;U
UI0_GRPCLI;001;ACY->ACY_DESCRI;UI0_DESCGR;P;S;ACY;1;XFILIAL('ACY')+M->UI0_GRPCLI;;U
UI0_GRPCLI;002;'';UI0_CLIENT;P;N;;0;;!EMPTY(M->UI0_GRPCLI);U
UI0_GRPCLI;003;'';UI0_LOJA;P;N;;0;;!EMPTY(M->UI0_GRPCLI);U
UI0_GRPCLI;004;'';UI0_NOME;P;N;;0;;!EMPTY(M->UI0_GRPCLI);U
UI0_CLIENT;001;SA1->A1_NOME;UI0_NOME;P;S;SA1;1;XFILIAL('SA1')+M->UI0_CLIENT+M->UI0_LOJA;;U
UI0_CLIENT;002;'';UI0_GRPCLI;P;N;;0;;!EMPTY(M->UI0_CLIENT);U
UI0_CLIENT;003;'';UI0_DESCGR;P;N;;0;;!EMPTY(M->UI0_CLIENT);U
UI0_LOJA;001;SA1->A1_NOME;UI0_NOME;P;S;SA1;1;XFILIAL('SA1')+M->UI0_CLIENT+M->UI0_LOJA;;U
UI1_FORNEC;001;SA2->A2_NOME;UI1_NOME;P;S;SA2;1;XFILIAL('SA2')+M->UI1_FORNEC+M->UI1_LOJAFO;;U
UI1_LOJAFO;001;SA2->A2_NOME;UI1_NOME;P;S;SA2;1;XFILIAL('SA2')+M->UI1_FORNEC+M->UI1_LOJAFO;;U
UIB_DESACR;001;FwFldGet('UIB_PRCBAS')+M->UIB_DESACR;UIB_PRCVEN;P;N;;0;;;U
UIB_PRCVEN;001;M->UIB_PRCVEN - FwFldGet('UIB_PRCBAS');UIB_DESACR;P;N;;0;;;U
UIC_FORNEC;001;SA2->A2_NOME;UIC_NOMEF;P;S;SA2;1;XFILIAL('SA2')+M->UIC_FORNEC+FWFldGet('UIC_LOJAF');;U
UIC_LOJAF;001;SA2->A2_NOME;UIC_NOMEF;P;S;SA2;1;XFILIAL('SA2')+FWFldGet('UIC_FORNEC')+M->UIC_LOJAF;;U
UIC_CLIENT;001;SubStr(SA1->A1_NOME,1,TamSx3('UIC_NOMEC')[1]);UIC_NOMEC;P;S;SA1;1;XFILIAL('SA1')+M->UIC_CLIENT+FWFldGet('UIC_LOJAC');;U
UIC_LOJAC;001;SubStr(SA1->A1_NOME,1,TamSx3('UIC_NOMEC')[1]);UIC_NOMEC;P;S;SA1;1;XFILIAL('SA1')+FWFldGet('UIC_CLIENT')+M->UIC_LOJAC;;U
UIC_PRODUT;001;SB1->B1_DESC;UIC_DESCRI;P;S;SB1;1;XFILIAL('SB1')+M->UIC_PRODUT;;U
ZE0_GRPTQ;001;Posicione('MHZ',1,XFILIAL('MHZ')+M->ZE0_GRPTQ,'MHZ_XDESCR');ZE0_DESTQ;P;N;;0;;;U
ZE4_TQ;001;Posicione('ZE0',1,xFilial('ZE0')+M->ZE4_TQ,'ZE0_DESCR');ZE4_DESC;P;N;;0;;;U
ZE5_PEDIDO;001;Posicione('SC7',1,xFilial('SC7')+M->ZE5_PEDIDO+M->ZE5_ITEMPE,'C7_PRODUTO');ZE5_PRODUT;P;N;;0;;;U
ZE5_PEDIDO;002;Posicione('SB1',1,XFILIAL('SB1')+M->ZE5_PRODUT,'B1_DESC');ZE5_DESCRI;P;N;;0;;;U
ZE5_ITEMPE;001;Posicione('SC7',1,xFilial('SC7')+M->ZE5_PEDIDO+M->ZE5_ITEMPE,'C7_PRODUTO');ZE5_PRODUT;P;N;;0;;;U
ZE5_ITEMPE;002;Posicione('SB1',1,XFILIAL('SB1')+M->ZE5_PRODUT,'B1_DESC');ZE5_DESCRI;P;N;;0;;;U
