X3_ARQUIVO;X3_ORDEM;X3_CAMPO;X3_TIPO;X3_TAMANHO;X3_DECIMAL;X3_TITULO;X3_TITSPA;X3_TITENG;X3_DESCRIC;X3_DESCSPA;X3_DESCENG;X3_PICTURE;X3_VALID;X3_USADO;X3_RELACAO;X3_F3;X3_NIVEL;X3_RESERV;X3_CHECK;X3_TRIGGER;X3_PROPRI;X3_BROWSE;X3_VISUAL;X3_CONTEXT;X3_OBRIGAT;X3_VLDUSER;X3_CBOX;X3_CBOXSPA;X3_CBOXENG;X3_PICTVAR;X3_WHEN;X3_INIBRW;X3_GRPSXG;X3_FOLDER;X3_PYME;X3_CONDSQL;X3_CHKSQL;X3_IDXSRV;X3_ORTOGRA;X3_IDXFLD;X3_TELA;X3_AGRUP
SA1;EA;A1_XSLDLC;N;14;2;Sld Lim Vend;Sld Lim Vend;Sld Lim Vend;Saldo Limite Venda;Saldo Limite Venda;Saldo Limite Venda;@E 99,999,999,999.99;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;if(!INCLUI.and.FindFunction('U_TRETE032'),SA1->A1_XLC-U_TRETE032(1,{{SA1->A1_COD,SA1->A1_LOJA,''}})[01][01],0);;0;xxxx x;;;U;N;V;V;;;;;;;;;;5;;;;;N;N;;
SA1;EB;A1_XBLQLC;C;1;0;Blq Crd Vend;Blq Crd Vend;Blq Crd Vend;Bloqueio Credito Venda;Bloqueio Credito Venda;Bloqueio Credito Venda;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;'2';;0;xxxx x;;;U;N;A;R;;;1=Sim|2=Nao;1=Sim|2=Nao;1=Sim|2=Nao;;!SuperGetMv("TP_ACTLCS",,.F.);;;5;;;;;N;N;;
SA1;EC;A1_XCONDSA;C;3;0;Cond Pg Saq;Cond Pg Saq;Cond Pg Saq;Cond. Pgto Saque Requis.;Cond. Pgto Saque Requis.;Cond. Pgto Saque Requis.;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;SE4;0;xxxx x;;;U;N;A;R;;;;;;;;;;5;;;;;N;N;;
SA1;ED;A1_XLIMSQ;N;14;2;Vlr Lim Saqu;Vlr Lim Saqu;Vlr Lim Saqu;Valor Limite Saque;Valor Limite Saque;Valor Limite Saque;@E 99,999,999,999.99;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;S;U;N;A;R;;Positivo();;;;;!SuperGetMv("TP_ACTLCS",,.F.);;;5;;;;;N;N;;
SA1;EE;A1_XSLDSQ;N;14;2;Sld Lim Saqu;Sld Lim Saqu;Sld Lim Saqu;Saldo Limite Saque;Saldo Limite Saque;Saldo Limite Saque;@E 99,999,999,999.99;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;if(!INCLUI.and.FindFunction('U_TRETE032'),SA1->A1_XLIMSQ-U_TRETE032(2,{{SA1->A1_COD,SA1->A1_LOJA,''}})[01][01],0);;0;xxxx x;;;U;N;V;V;;;;;;;;;;5;;;;;N;N;;
SA1;EF;A1_XBLQSQ;C;1;0;Blq Crd Saqu;Blq Crd Saqu;Blq Crd Saqu;Bloqueio Credito Saque;Bloqueio Credito Saque;Bloqueio Credito Saque;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;'2';;0;xxxx x;;;U;N;A;R;;;1=Sim|2=Nao;1=Sim|2=Nao;1=Sim|2=Nao;;!SuperGetMv("TP_ACTLCS",,.F.);;;5;;;;;N;N;;
SA1;EG;A1_XVLSPOS;C;1;0;Emit.Vale Sv;Emit.Vale Sv;Emit.Vale Sv;Habilitado Vale Serv. Pos;Habilitado Vale Serv. Pos;Habilitado Vale Serv. Pos;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;;U;N;A;R;;;S=Sim|N=Nao;;;;;;;5;;;;;N;N;;
SA1;EH;A1_XCDVLSP;C;3;0;Cond.Vl.Serv;Cond.Vl.Serv;Cond.Vl.Serv;Cond.Pag. Vale Serv. Pos;Cond.Pag. Vale Serv. Pos;Cond.Pag. Vale Serv. Pos;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;SE4;0;xxxx x;;;U;N;A;R;;Empty(M->A1_XCDVLSP) .OR. ExistCpo("SE4",M->A1_XCDVLSP);;;;;;;;5;;;;;N;N;;
SA1;EI;A1_XRISCO;C;2;0;Grau Risco;Grau Risco;Grau Risco;Grau de Risco do cliente;Grau de Risco do cliente;Grau de Risco do cliente;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxx x;;;U;N;A;R;;;;;;;;;;5;;;;;N;N;;
SA1;EJ;A1_XCLASSE;C;6;0;Classe fat;Classe fat;Classe fat;Classe fat;Classe fat;Classe fat;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;UF6;0;xxxx x;;;U;S;A;R;;;;;;;;;;5;;;;;N;N;;
SA1;EK;A1_XOPCOBR;C;6;0;Res.Cobranca;Res.Cobranca;Res.Cobranca;Responsavel Cobranca;Responsavel Cobranca;Responsavel Cobranca;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;SU7;0;xxxx x;;;U;N;A;R;;;;;;;;;;5;;;;;N;N;;
SA1;EL;A1_XCOMERC;C;6;0;Res.Comercia;Res.Comercia;Res.Comercia;Responsavel Comercial;Responsavel Comercial;Responsavel Comercial;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;SU7;0;xxxx x;;;U;N;A;R;;;;;;;;;;5;;;;;N;N;;
SA1;EM;A1_XRESTGP;M;10;0;Rest.Grp F12;Restric. Grp;Restric. Grp;Restric. Grp (F12);Restric. Grp (F12);Restric. Grp (F12);;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;;U;N;A;R;;;;;;;iif(ExistBlock("TR042VK1"),U_TR042VK1(),.T.);;;5;;;;;N;N;;
SA1;EN;A1_XRESTPR;M;10;0;Rest.Prd F12;Restric. Prd;Restric. Prd;Restric. Prd (F12);Restric. Prd (F12);Restric. Prd (F12);;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;;U;N;A;R;;;;;;;iif(ExistBlock("TR042VK1"),U_TR042VK1(),.T.);;;5;;;;;N;N;;
SA1;EO;A1_XNSEPAR;C;1;0;Descons Rest;Descons Rest;Descons Rest;Desconsidera Restrição;Desconsidera Restrição;Desconsidera Restrição;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;;U;N;A;R;;;S=Sim|N=Nao;;;;;;;5;;;;;N;N;;
SA1;EP;A1_XSEPFPG;C;1;0;Sep forma pg;Sep forma pg;Sep forma pg;Sep forma pg;Sep forma pg;Sep forma pg;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;"S";;0;xxxx x;;;U;S;A;R;;;S=Sim|N=Nao;;;;;;;5;;;;;N;N;;
SA1;EQ;A1_XSEPMOT;C;1;0;Sep mot saqu;Sep mot saqu;Sep mot saqu;Sep mot saqu;Sep mot saqu;Sep mot saqu;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;"S";;0;xxxx x;;;U;S;A;R;;;S=Sim|N=Nao;;;;;;;5;;;;;N;N;;
SA1;ER;A1_XSEPORD;C;1;0;Sep ord serv;Sep ord serv;Sep ord serv;Sep ord serv;Sep ord serv;Sep ord serv;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;"S";;0;xxxx x;;;U;N;A;R;;;S=Sim|N=Nao;;;;;;;5;;;;;N;N;;
SA1;ES;A1_XQFAT;C;1;0;Subagrup fat;Subagrup fat;Subagrup fat;Subagrup fat;Subagrup fat;Subagrup fat;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;;U;N;A;R;;;F=Forma de Pagamento|M=Motivo de Saque;;;;;;;5;;;;;N;N;;
SA1;ET;A1_XORDFAT;C;1;0;Ord. Fatura;Ord. Fatura;Ord. Fatura;Ord. Fatura;Ord. Fatura;Ord. Fatura;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;"P";;0;xxxx x;;;U;N;A;R;;;P=Placa|D=Data;;;;;;;5;;;;;N;N;;
SA1;EU;A1_XEMAIL;C;100;0;E-Mail;E-Mail;E-Mail;E-Mail;E-Mail;E-Mail;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;;U;N;A;R;;;;;;;;;;5;;;;;N;N;;
SA1;EW;A1_XOBSFAT;M;10;0;Obs.Faturame;Obs.Faturame;Obs.Faturame;Observacoes Faturamento;Observacoes Faturamento;Observacoes Faturamento;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxxxx x;;;U;N;A;R;;;;;;;;;;;;;;;N;N;;
SA1;EV;A1_HREXP;C;8;0;Hora Exp;Hora Exp;Hora Exp;Hora da Exportacao;Hora da Exportacao;Hora da Exportacao;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxx x;;;U;N;V;R;;;;;;;;;;;S;;;;;;;
SA1;C0;A1_MSEXP;C;8;0;Ident.Exp.;Ident.Exp.;Exp. ID;Ident.Exp.Dados;Ident.Exp.Datos;Data Exp. Ident.;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;1;x;;;;N;V;R;;;;;;;;;;;S;;;N;;N;;008
SA3;96;A3_RFID;C;16;0;Cod RF ID;Cod RF ID;Cod RF ID;Cod RF ID;Cod RF ID;Cod RF ID;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;;U;N;A;R;;;;;;;;;;;;;;;N;N;;
SA6;82;A6_XGERENT;C;1;0;Gerente?;Gerente?;Gerente?;Gerente?;Gerente?;Gerente?;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;;U;N;A;R;;;1=Sim|2=Nao;;;;;;;;S;;;;N;N;;
